,REQUEST_GUID,FORM_ID,COUNTRY,USAGE,UPDATE_DT,FUNCTION,RESULT_INDICATOR,OPERATOR,LIMIT,UNIT,HIGH_OPERATOR,HIGH_LIMIT,CITATION,REGLINK,COMMENTS,CITATION_UPDATE_IN_PROGRESS,REGULATION_NAME
1012356,20211122226,215389,Sierra Leone,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012357,20211122226,215389,Guinea-Bissau,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012358,20211122226,215389,Model Standards,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012367,20211122226,215389,Burkina Faso,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012368,20211122226,215389,Cameroon,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012369,20211122226,215389,Montenegro,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,"Pravilnik Sl. List CG, br. 21/2015: Regulation on Maximum Residue Levels of Plant Protection Products in plants, plant products, food or feed - 1. Amendment: Pravilnik Sl. List CG, br. 34/2019. Part 02 (Croatian) - Table 243 Pesticide Residues",doc=me_prav767_br34_2019_2.pdf&pg=410,**Citation details:**<br>    **Substance:** Thiamethoxam **function:** Pesticides  **usage:** 0610000: Tea [TEAS- COFFEE- HERBAL INFUSIONS- COCOA AND CAROBS] [ÄAJ [ÄAJEVI- KAFE- BILJNE MJEÅ AVINE- KAKAO I  ROGAÄI]]   **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012370,20211122226,215389,Tuvalu,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012378,20211122226,215389,Seychelles,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012379,20211122226,215389,Lesotho,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
1012380,20211122226,215389,Togo,"Tea (dried leaves, stalks and flowers)",2021-11-22,Pesticides,LIMITED,<=,20.0,PPM,-,,MRL for Thiamethoxam (245) [2015] - Pesticide Residues,doc=cdx_mrl_245_pest_2015.pdf&pg=1,**Citation details:**<br> **comments:** Insecticide Not fat-soluble   **Substance:** Thiamethoxam **function:** Pesticides  **usage:** Tea- green- black [black- fermented and dried] **country:** Codex  **Class** PESTICIDES: NEONICOTINOID INSECTICIDE  ,0,
